Date,Salinity (ppt),DissolvedOxygen (mg/L),pH,SecchiDepth (m),WaterDepth (m),WaterTemp (C),AirTemp (C)
11-05-1989,,,7.5,0.3,0.9,17,-17.77777778
18-05-1989,,12,7.5,0.2,0.6,17.5,20.5
25-05-1989,,,8,0.4,0.8,23,25
01-06-1989,,12,8,0.4,0.9,25.5,29
11-07-1989,,,8.5,0.3,0.9,28.5,28
20-07-1989,,1.6,9,0.3,0.9,30,32.5
27-07-1989,,6.2,9,0.3,0.8,27,27
03-08-1989,,5.8,9.5,0.2,0.7,25,28
10-08-1989,,3.2,9,0.2,0.3,21.5,22.5
17-08-1989,,7.3,9,0.2,0.8,28,29
31-08-1989,,7.1,9,0.2,0.8,28,28
14-09-1989,,6,7.5,0.3,0.9,26,26
25-10-1989,,7.8,8.5,0.2,0.5,15,19
31-10-1989,,,7.5,0.2,0.7,21.5,22
20-11-1989,,,8,0.2,1,8.5,14
27-11-1989,,10.3,7.5,0.2,0.6,9,4
11-12-1989,,10.2,7,0.2,0.4,3,3
03-01-1990,,11.9,7.5,0.2,0.6,3,5
08-01-1990,,10.8,7.5,0.2,0.4,7,7.5
22-01-1990,1,9.7,7.5,0.15,0.65,10,12
30-01-1990,,10.8,7.5,0.2,0.7,9,13
07-02-1990,3.4,10.8,7.5,0.2,0.6,10,10
12-02-1990,3.2,10.6,7,0.2,0.7,10,9
20-02-1990,4.2,11.6,7.5,0.15,0.39,5,5
27-02-1990,2.8,13.8,7,0.5,1.5,2.5,1
05-03-1990,2.9,11.6,7,0.2,0.4,7,8.5
12-03-1990,2.9,9,7,0.15,0.69,17,21
19-03-1990,2.8,7.8,7,0.22,0.92,15,14
26-03-1990,3,10.8,7,0.25,0.4,9.5,9
02-04-1990,1.8,9.6,8,0.15,0.7,5,15
09-04-1990,4.1,10.8,7,0.25,0.78,11,12
16-04-1990,2.5,9.7,7,0.25,0.72,15,14
23-04-1990,2.8,10.7,7,0.25,0.59,15,15
30-04-1990,3.2,10,7,0.88,1.3,18,16
07-05-1990,4.5,8.9,7,0.25,0.75,17,18
14-05-1990,3.7,8.4,7,0.32,1,20,19
21-05-1990,2.9,,7,0.25,0.99,22,24.5
29-05-1990,2.1,8.9,7,0.375,0.95,19,20
04-06-1990,3.5,6.9,7,0.4,1.22,24,25
11-06-1990,3.2,7.9,7,0.35,0.75,24,22
16-06-1990,3.2,7.7,7,0.32,0.62,23.5,20
24-06-1990,3.8,7.9,7,0.35,0.91,26,26
02-07-1990,3.7,7.8,7,0.35,0.78,24,23.5
09-07-1990,4.2,7.5,7.5,0.3,0.82,26,26.5
16-07-1990,3.9,7.5,7,0.375,1.25,26.5,-17.77777778
26-07-1990,4.2,6.9,7.75,0.375,0.48,27,26
06-08-1990,4.2,7.7,8,0.4,0.98,26,26
13-08-1990,4.2,7.8,8,0.35,0.82,27,27
27-08-1990,4.2,8.9,8,0.35,0.94,27,28.5
04-09-1990,2.9,8.1,8,0.25,0.68,23,24
17-09-1990,2.4,8.8,8,0.25,0.78,21,18
15-10-1990,3.5,8.2,8,0.3,0.93,23,22
29-10-1990,0.7,12.5,8,0.1,0.38,9,10
17-12-1990,0.5,11.05,7.5,0.25,0.6,8,8
03-01-1991,0.5,11.9,7.5,0.25,0.78,9,11
07-01-1991,0.7,11.8,8,0.2,0.39,9,8
14-01-1991,0.4,12.2,8,0.2,0.65,4.5,4
24-01-1991,0.5,13.2,7.5,0.2,0.65,4.5,4.5
04-02-1991,0.9,,7.5,0.25,0.7,9,10.5
11-02-1991,0.7,11.1,7.5,0.3,0.41,7.5,8
21-02-1991,1.2,10.8,7.5,0.2,0.72,12,10.5
25-02-1991,0.7,11.8,7.5,0.2,0.28,8,8
04-03-1991,1.2,10,7.5,0.2,1.6,15,16
11-03-1991,0.4,12.9,7.5,0.15,0.35,6,4
18-03-1991,,9.95,7.7,0.25,0.69,11,14
25-03-1991,0,9.8,8,0.275,0.94,14,13
04-04-1991,1.2,10.7,8,0.32,0.78,13,14
08-04-1991,2.1,8.7,8,0.32,0.83,19,21
15-04-1991,1.2,8.9,7.5,0.32,0.52,14,15.5
22-04-1991,0.9,9.75,7.5,0.2,0.55,12.5,13
29-04-1991,2.4,8.3,7.5,0.35,0.8,20.5,18
06-05-1991,2.6,8,7.5,0.35,0.95,21,23.5
20-05-1991,1.3,9.5,7.5,0.3,0.5,15.5,15
10-06-1991,3,6.9,7.5,0.3,0.7,23,26
17-06-1991,3.8,6.8,7.5,0.325,1.09,26,27
26-06-1991,2.8,8.1,7.5,0.25,0.7,21,21.5
09-07-1991,1.8,7.8,7.5,0.35,0.95,28,29.5
15-07-1991,0,8,7.5,0.99,0.375,27.5,28
25-07-1991,,7.8,7,0.4,0.925,29,29
02-08-1991,0.7,8,7.5,0.35,1.025,24.5,26.5
09-08-1991,,8.4,8,0.35,1.025,27,29
16-08-1991,,8.8,8,0.38,1.01,25,26
23-08-1991,,7.8,8,0.375,0.88,26,28
30-08-1991,,7.8,8,,,26,27.5
06-09-1991,,7.7,8,0.375,0.9,25,24.5
13-09-1991,,8.2,8,0.2,0.37,22.5,25
23-09-1991,1.8,8.5,8,0.31,0.52,20,21
04-10-1991,3.5,7.7,7.5,0.28,0.7,21,22
17-10-1991,9,9.7,7.5,0.2,0.65,13,11
31-10-1991,2.5,9.2,7.5,,1.5,13,15
07-11-1991,4.7,10.2,7.7,0.25,0.75,13,13.5
14-11-1991,6.2,11.3,7,0.15,0.8,12,13.5
21-11-1991,2.6,9.1,7,0.15,0.85,17,19.5
29-11-1991,3.3,10.8,7.5,0.25,0.6,12,15
09-12-1991,2,10.4,7.5,0.15,0.25,10,15
20-12-1991,1.4,15.1,8,0.2,0.3,2,2
27-12-1991,2.9,11.6,7.5,0.35,0.49,7,7
03-01-1992,2,11.8,7.5,0.28,0.45,10,12
09-01-1992,2.2,11.3,7.5,0.3,0.99,7.5,9.5
20-01-1992,1.4,12.6,7,0.2,0.58,2,0.5
30-01-1992,1.6,11.6,7,0.25,0.48,6,6.5
10-02-1992,2.4,14.2,7,0.25,0.3,3,4
17-02-1992,2,11.1,7,0.15,0.68,10,7
23-02-1992,2.4,10,7.5,0.15,0.68,12.5,12.5
02-03-1992,2.9,11.3,8,0.2,0.8,13,15.5
09-03-1992,3.5,10,7.5,0.25,0.75,16,18
16-03-1992,2.8,,7,0.15,0.48,3,-1.111111111
23-03-1992,2.9,11.6,7.5,0.05,0.35,3,7
06-04-1992,3,11,7.5,0.25,0.42,9,10
13-04-1992,3.8,10.6,7.5,0.1,0.5,13,7.5
20-04-1992,4.7,9.4,7,0.2,0.78,17,13
27-04-1992,3.7,9.6,7,0.35,0.65,14,13.05
05-05-1992,3.8,8.9,7.5,0.2,0.6,15.5,10
11-05-1992,4.2,9.2,7.5,0.3,0.7,17.5,17
18-05-1992,3.9,9,7.5,0.3,0.65,,24
01-06-1992,5,9.4,7,0.4,0.9,20,20.5
08-06-1992,4.3,7.9,7,0.4,1.05,27.5,29
15-06-1992,5.1,7.8,8,0.4,0.8,25,29
22-06-1992,4.7,9,7.5,0.45,0.68,19,18
29-06-1992,4.5,0.8,7.5,0.4,0.8,26,26
06-07-1992,4.3,7.5,7.5,0.45,1,25,24
13-07-1992,5.1,7.3,7.5,0.35,0.95,28.5,31
27-07-1992,5.1,7.6,8,0.35,0.95,28,30.5
03-08-1992,4.5,8,8,0.3,0.85,26,26
07-08-1992,4.7,8,8,0.33,0.6,23,25
14-08-1992,4.7,7.1,7.5,0.4,0.95,24.5,22
23-08-1992,3.9,8.5,8,0.4,0.8,24.5,26
31-08-1992,4.3,7.7,7.5,0.3,1,23,25
14-09-1992,4.8,9.2,8,0.38,0.38,19.5,22
20-09-1992,4.3,7.6,7.5,0.35,0.8,23.5,24
27-09-1992,5.4,9.8,8,0.25,0.45,24,26.5
05-10-1992,3.9,9.2,7.5,0.1,0.15,16,17
19-10-1992,4.1,9.8,7.5,0.1,1,12,10
26-10-1992,4.2,10.6,7,0.3,0.63,12.5,13
02-11-1992,3.4,10.6,7.5,0.35,0.65,16.5,17.5
09-11-1992,1.7,11.3,7.5,,0.4,9,10
16-11-1992,3.9,11,7.5,0.4,0.55,7.5,5.5
23-11-1992,3.9,9,7.85,0.25,0.85,18.5,21.5
30-11-1992,3.7,10.9,7.5,0.55,0.7,9,8
17-12-1992,4.1,10.8,7,0.15,0.5,12,15.5
20-12-1992,3.8,10.1,7,0.25,0.85,10.5,10.5
27-12-1992,4.7,13.2,7,0.25,0.45,5.5,5.5
04-01-1993,3.7,11,7,0.35,0.5,8,16
11-01-1993,3.5,11.9,7,0.25,0.25,9,7
24-01-1993,3.3,10.5,7,0.3,0.95,10.5,14.5
01-02-1993,2.9,12,7,0.2,0.85,6,9.5
08-02-1993,3.4,12.6,7,0.1,0.3,5,5.5
16-02-1993,3.5,12.4,7,0.3,0.75,8,12
22-02-1993,2.9,12.7,7,0.1,0.85,8,15
08-03-1993,3.9,10.7,7,0.1,1.15,10,13.5
15-03-1993,3.4,12.8,7,0.5,1.7,2.5,1.5
22-03-1993,3.3,11.2,7,0.15,0.4,10,11
29-03-1993,3,10,7,0.5,0.7,14.5,12.5
01-04-1993,2.9,9.5,,0.55,3.1,17.5,20.5
05-04-1993,2.5,10,7,0.35,0.8,10,7
12-04-1993,2.5,9.7,7,0.3,1,15.5,16
19-04-1993,3,10,7,0.3,1.15,14.5,12
26-04-1993,3.4,8.7,7,0.3,1.2,19,21
10-05-1993,3.2,8,7,0.4,0.85,21,21
17-05-1993,3.9,8,7,0.5,1,24,25
24-05-1993,2.9,9,7,0.3,0.85,20,22
07-06-1993,3.7,,7,0.45,0.75,23,22.5
14-06-1993,3.9,8.1,7,0.45,0.45,21.5,20.5
21-06-1993,3.8,7.2,7,0.55,1,26.5,27
28-06-1993,3.9,7.1,7,0.55,0.8,26.5,30
05-07-1993,,7.4,7.5,0.55,0.8,30,31.5
19-07-1993,4.2,7.3,7.5,0.45,0.75,27,27.5
26-07-1993,,7.5,7.5,0.5,0.7,28,29.5
02-08-1993,3.9,8,8,0.4,0.8,26.5,30
09-08-1993,3.5,9.1,8,0.3,0.55,25.5,26.5
06-09-1993,,7.2,,0.35,0.85,25.5,27.5
13-09-1993,,7.8,7,0.2,0.75,24,28
20-09-1993,,8.5,8,0.2,0.6,21.5,23.5
27-09-1993,1.8,7.2,7.9,0.4,0.95,24.5,24.5
04-10-1993,,9.3,8.3,0.35,0.65,19,20
12-10-1993,1.5,8.8,7.8,0.3,0.5,16.5,15
18-10-1993,1.5,8.8,7.7,0.35,0.75,18,18.3
25-10-1993,1.8,10.6,8.4,0.4,0.6,15.6,18.9
08-11-1993,1.5,8.2,7.5,0.35,0.55,9.8,11.3
15-11-1993,1.4,9.6,7.9,0.4,0.8,17.3,22.5
29-11-1993,1.5,9.4,7.1,0.2,0.55,12.1,10.5
06-12-1993,1.5,9.8,7.4,0.25,0.75,10.5,9.3
13-12-1993,1.5,13,7.6,0.25,0.45,1.3,5.5
28-12-1993,1.5,12.1,7.1,0.3,0.7,3.8,4.3
03-01-1994,1.3,11.7,7.3,0.4,0.4,5.9,8
31-01-1994,1.5,12,7.4,0.2,0.35,3,2.6
07-02-1994,1,10.5,7.2,0.25,0.6,5.9,7.6
23-02-1994,1,10.1,7.4,0.35,0.5,10,2.7
28-02-1994,1,12.6,7.2,0.2,0.4,1.6,0
07-03-1994,1,9.9,7.1,0.2,0.9,9.7,15.2
14-03-1994,0.5,10.4,7.2,0.25,0.75,9.8,10.1
28-03-1994,1,9.2,7.1,0.15,0.95,16.1,22.1
04-04-1994,1,9.2,7.2,0.25,0.75,15,13.5
11-04-1994,1,8.6,7.3,0.2,0.75,15.7,13
18-04-1994,1,8.8,7.6,0.2,0.7,17.5,16.6
25-04-1994,1,10,7.9,0.2,0.5,19.3,22.1
02-05-1994,1.3,9.8,7.5,0.2,0.65,16.1,13
09-05-1994,1,10.1,7.9,0.25,0.75,18.8,19.5
16-05-1994,1,8.2,7.8,0.25,0.8,22.1,22.3
23-05-1994,1,10.8,9.1,0.05,0.05,21.7,24.3
